BGP table version is 0, local router ID is 66.96.119.68
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 194.0.47.0       196.223.20.100           0             0 42 i
*> 194.117.58.0     196.223.20.100           0             0 42 i
*> 196.1.192.0/18   196.223.20.21            0             0 15706 ?
*> 196.1.192.0/19   196.223.20.21            0             0 15706 ?
*> 196.1.192.0/20   196.223.20.21            0             0 15706 ?
*> 196.1.192.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.192.0      196.223.20.21            0             0 15706 ?
*> 196.1.193.0      196.223.20.21            0             0 15706 ?
*> 196.1.194.0      196.223.20.21            0             0 15706 ?
*> 196.1.195.0      196.223.20.21            0             0 15706 ?
*> 196.1.196.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.196.0      196.223.20.21            0             0 15706 ?
*> 196.1.197.0      196.223.20.21            0             0 15706 ?
*> 196.1.198.0      196.223.20.21            0             0 15706 ?
*> 196.1.200.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.204.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.204.0      196.223.20.21            0             0 15706 ?
*> 196.1.208.0/20   196.223.20.21            0             0 15706 ?
*> 196.1.208.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.209.0      196.223.20.21            0             0 15706 ?
*> 196.1.210.0      196.223.20.21            0             0 15706 ?
*> 196.1.211.0      196.223.20.21            0             0 15706 ?
*> 196.1.212.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.215.0      196.223.20.21            0             0 15706 ?
*> 196.1.216.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.217.0      196.223.20.21            0             0 15706 ?
*> 196.1.218.0      196.223.20.21            0             0 15706 ?
*> 196.1.219.0      196.223.20.21            0             0 15706 ?
*> 196.1.220.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.220.0      196.223.20.21            0             0 15706 ?
*> 196.1.224.0/19   196.223.20.21            0             0 15706 ?
*> 196.1.224.0/20   196.223.20.21            0             0 15706 ?
*> 196.1.224.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.224.0      196.223.20.21            0             0 15706 ?
*> 196.1.228.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.228.0      196.223.20.21            0             0 15706 ?
*> 196.1.232.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.236.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.236.0      196.223.20.21            0             0 15706 ?
*> 196.1.237.0      196.223.20.21            0             0 15706 ?
*> 196.1.240.0/20   196.223.20.21            0             0 15706 ?
*> 196.1.240.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.244.0/22   196.223.20.21            0             0 15706 ?
*> 196.1.248.0/22   196.223.20.21            0             0 15706 ?
