###############################################################################################
IPv4 route check output
###############################################################################################



IRR - Valid, RPKI - Valid: 866 prefixes
============================================================================================
+-----+-------+--------+------------------+-------------+
|     | irr   | rpki   | prefix           |   origin_as |
| 212 | Valid | Valid  | 69.166.10.0/24   |        3856 |
| 213 | Valid | Valid  | 72.0.48.0/24     |          42 |
| 214 | Valid | Valid  | 72.0.49.0/24     |          42 |
| 215 | Valid | Valid  | 72.0.50.0/24     |          42 |
| 216 | Valid | Valid  | 72.0.51.0/24     |          42 |
| 217 | Valid | Valid  | 72.0.52.0/24     |          42 |
| 218 | Valid | Valid  | 72.0.53.0/24     |          42 |
| 219 | Valid | Valid  | 72.0.54.0/24     |          42 |
| 220 | Valid | Valid  | 72.0.55.0/24     |          42 |
| 221 | Valid | Valid  | 72.0.56.0/24     |          42 |
| 222 | Valid | Valid  | 72.0.57.0/24     |          42 |
| 223 | Valid | Valid  | 72.0.58.0/24     |          42 |
| 224 | Valid | Valid  | 72.0.59.0/24     |          42 |
| 225 | Valid | Valid  | 72.0.60.0/24     |          42 |
| 226 | Valid | Valid  | 72.0.61.0/24     |          42 |
| 227 | Valid | Valid  | 72.0.62.0/24     |          42 |
| 228 | Valid | Valid  | 72.0.63.0/24     |          42 |
| 229 | Valid | Valid  | 72.9.128.0/20    |       17501 |
| 230 | Valid | Valid  | 74.80.106.0/24   |          42 |
| 231 | Valid | Valid  | 101.251.4.0/22   |       45170 |
| 232 | Valid | Valid  | 101.251.6.0/24   |      132856 |
| 233 | Valid | Valid  | 103.1.92.0/22    |       55915 |
| 234 | Valid | Valid  | 103.1.92.0/24    |       55915 |
| 235 | Valid | Valid  | 103.1.93.0/24    |       55915 |
| 236 | Valid | Valid  | 103.1.94.0/24    |       55915 |
| 237 | Valid | Valid  | 103.1.95.0/24    |       55915 |
| 238 | Valid | Valid  | 103.5.150.0/24   |       58456 |
| 239 | Valid | Valid  | 103.5.228.0/23   |       58433 |
| 240 | Valid | Valid  | 103.5.228.0/24   |       58433 |
| 241 | Valid | Valid  | 103.10.28.0/22   |       45650 |
| 242 | Valid | Valid  | 103.10.28.0/23   |       45650 |
| 243 | Valid | Valid  | 103.10.30.0/23   |       45650 |
| 245 | Valid | Valid  | 103.28.84.0/24   |       58504 |
| 246 | Valid | Valid  | 103.28.85.0/24   |       58504 |
| 247 | Valid | Valid  | 103.28.86.0/24   |       58504 |
| 248 | Valid | Valid  | 103.28.87.0/24   |       58504 |
| 249 | Valid | Valid  | 103.38.196.0/22  |       38565 |
| 250 | Valid | Valid  | 103.38.196.0/23  |       38565 |
| 251 | Valid | Valid  | 103.38.199.0/24  |       38565 |
| 252 | Valid | Valid  | 103.41.172.0/22  |       45650 |
| 253 | Valid | Valid  | 103.41.172.0/23  |       45650 |
| 255 | Valid | Valid  | 103.48.88.0/24   |      133923 |
| 256 | Valid | Valid  | 103.51.16.0/22   |       55915 |
| 257 | Valid | Valid  | 103.51.16.0/24   |       55915 |
| 258 | Valid | Valid  | 103.51.17.0/24   |       55915 |
| 259 | Valid | Valid  | 103.51.18.0/24   |       55915 |
| 260 | Valid | Valid  | 103.52.28.0/24   |       63968 |
| 261 | Valid | Valid  | 103.52.29.0/24   |       63968 |
| 262 | Valid | Valid  | 103.52.30.0/24   |       63968 |
| 263 | Valid | Valid  | 103.58.144.0/24  |       63991 |
| 264 | Valid | Valid  | 103.58.145.0/24  |       63991 |
| 265 | Valid | Valid  | 103.65.200.0/24  |      133092 |
| 266 | Valid | Valid  | 103.65.201.0/24  |      133092 |
| 270 | Valid | Valid  | 103.71.242.0/23  |      132270 |
| 271 | Valid | Valid  | 103.71.242.0/24  |      132270 |
| 272 | Valid | Valid  | 103.71.243.0/24  |      132270 |
| 273 | Valid | Valid  | 103.74.14.0/23   |      132799 |
| 274 | Valid | Valid  | 103.74.15.0/24   |      132799 |
| 275 | Valid | Valid  | 103.75.48.0/24   |      133149 |
| 276 | Valid | Valid  | 103.75.49.0/24   |       45650 |
| 277 | Valid | Valid  | 103.75.148.0/23  |      133557 |
| 280 | Valid | Valid  | 103.83.228.0/24  |      136219 |
| 281 | Valid | Valid  | 103.83.229.0/24  |      136219 |
| 282 | Valid | Valid  | 103.86.56.0/24   |      136380 |
| 283 | Valid | Valid  | 103.86.57.0/24   |      136380 |
| 284 | Valid | Valid  | 103.89.156.0/24  |      136477 |
| 285 | Valid | Valid  | 103.89.157.0/24  |      136477 |
| 286 | Valid | Valid  | 103.89.158.0/24  |      136477 |
